2024-07-05 14:26:05,034, 26, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.010299314321, Generator_Loss-train: 0.630498250058, Registration_Loss_val-val: 0.013802530490Generator_Loss_val-val: 0.633882241050
2024-07-05 14:33:21,016, 27, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.010262267977, Generator_Loss-train: 0.630462035557, Registration_Loss_val-val: 0.013799579170Generator_Loss_val-val: 0.633880456676
2024-07-05 14:40:31,814, 28, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.010223637623, Generator_Loss-train: 0.630422769864, Registration_Loss_val-val: 0.013784802377Generator_Loss_val-val: 0.633868831516
2024-07-05 14:47:51,434, 29, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.010191532260, Generator_Loss-train: 0.630387687337, Registration_Loss_val-val: 0.013799427340Generator_Loss_val-val: 0.633882236639
2024-07-05 14:55:14,559, 30, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.010159480378, Generator_Loss-train: 0.630353786259, Registration_Loss_val-val: 0.013784631148Generator_Loss_val-val: 0.633862120140
2024-07-05 15:02:21,599, 31, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.010124239120, Generator_Loss-train: 0.630317756140, Registration_Loss_val-val: 0.013782133126Generator_Loss_val-val: 0.633859258033
2024-07-05 15:09:34,401, 32, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.010091838959, Generator_Loss-train: 0.630283775240, Registration_Loss_val-val: 0.013764026011Generator_Loss_val-val: 0.633841355315
2024-07-05 15:16:47,318, 33, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.010059523237, Generator_Loss-train: 0.630248994530, Registration_Loss_val-val: 0.013764886239Generator_Loss_val-val: 0.633839048552
2024-07-05 15:23:53,859, 34, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.010024243233, Generator_Loss-train: 0.630212295494, Registration_Loss_val-val: 0.013738800154Generator_Loss_val-val: 0.633814212185
2024-07-05 15:31:04,651, 35, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009996122401, Generator_Loss-train: 0.630182582558, Registration_Loss_val-val: 0.013728757203Generator_Loss_val-val: 0.633802288771
2024-07-05 15:38:20,310, 36, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009967391120, Generator_Loss-train: 0.630152936468, Registration_Loss_val-val: 0.013706274511Generator_Loss_val-val: 0.633779029051
2024-07-05 15:45:37,194, 37, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009939665987, Generator_Loss-train: 0.630124128539, Registration_Loss_val-val: 0.013689575106Generator_Loss_val-val: 0.633757550367
2024-07-05 15:52:48,394, 38, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009913150359, Generator_Loss-train: 0.630096080436, Registration_Loss_val-val: 0.013683805999Generator_Loss_val-val: 0.633750835669
2024-07-05 16:00:01,034, 39, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009885784490, Generator_Loss-train: 0.630067645753, Registration_Loss_val-val: 0.013681995577Generator_Loss_val-val: 0.633746326104
2024-07-05 16:07:16,884, 40, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.009858473166, Generator_Loss-train: 0.630039208294, Registration_Loss_val-val: 0.013656657219Generator_Loss_val-val: 0.633719349064
